Column1,Column2
assigned,"ассигнованный, заданный, назначенный, установленный"
assignee,"правопреемник, уполномоченный, уполномоченный"
assignment,"назначение, задание, присвоение, присваивание, распределение, выделение"
assignor,"цедент, кредитор, поручитель, лицо, передающий право"
assimilability,усвояемость
assimilable,"ассимилируемый, усвояемый, способный к усвоению"
assimilate,"ассимилировать, ассимилироваться, усваивать, усваиваться, усвоить, уподоблять"
assimilated,усвоенный
assimilation,"ассимиляция, усвоение, уподобление"
assimilationism,политика насильственной ассимиляции
assimilative,"ассимилирующий, усваивающий"
assise,"свита, ярус, суд присяжных, слой"
assist,"помощь, вспомогательный механизм, помогать, содействовать, ассистировать"
assistance,"помощь, содействие, вспомоществование"
assistant,"помощник, ассистент, лаборант, помогающий"
assistantship,"должность ассистента на неполной ставке, ассистентура"
assisted,"помогать, содействовать, ассистировать, присутствовать, принимать участие"
assistless,беспомощный
assize,"выездная сессия суда присяжных, судебное разбирательство"
associate,"ассоциировать, связывать, связанный, присоединенный, партнер, компаньон, коллега"
associated,"связанный, соединенный, объединенный, взаимодействующий, действующий совместно"
association,"ассоциация, объединение, связь, общество, общение, союз, соединение, близость, дружба"
associative,"ассоциативный, общительный"
assoil,искупать
assonance,"ассонанс, созвучие, приблизительное соответствие"
assonant,"созвучный, ассонант"
assort,"сортировать, группировать, классифицировать, подбирать, подходить"
assorted,"сортированный, смешанный, классифицированный, подходящий"
assortment,"ассортимент, сортировка, подбор"
assouan,"Асуан, город в Египте, асуанский"
assuage,"смягчать, успокаивать, утолять, умиротворять"
assuagement,"успокоение, смягчение, болеутоляющее средство"
assuan,"Асуан, асуанский"
assuasive,"успокаивающий, смягчающий"
assume,"предполагать, принимать, брать на себя, допускать, принимать на себя"
assumed,"предполагаемый, допускаемый, вымышленный, притворный"
assumedly,предположительно
assuming,"самонадеянный, высокомерный, надменный, заносчивый"
assumpsit,"простой договор, иск об убытках из неисполнения простого договора"
assumption,"предположение, допущение, вступление, присвоение, успение, принятие на себя"
assumptive,"предположительный, допускаемый, самонадеянный, высокомерный, надменный"
assurance,"гарантия, уверение, уверенность, заверение, страхование, убежденность"
assure,"уверять, обеспечивать, гарантировать, заверять, убеждать, обнадеживать, страховать"
assured,"гарантированный, уверенный, обеспеченный, застрахованный, самоуверенный, наглый"
assuredly,"несомненно, конечно, бесспорно"
assuredness,"уверенность, самоуверенность, наглость"
assurer,страховщик
assurgent,"подымающийся, восходящий, вьющийся, агрессивный, стремящийся к власти"
assuror,страховщик
assy,"монтаж, сборка"
assyria,"Ассирия, ассирийский"
Assyrian,"ассирийский, ассириец, ассирийский язык, ассириянин"
astable,нестабильный
astarboard,"по правому борту, на правом борту, вправо"
astart,"внезапно, резко, вдруг"
astasia,"астазия, расстройство двигательной деятельности"
astatic,"астатический, неустойчивый, нестабильный"
asteism,"легкая, тонкая ирония"
astel,"затяжка кровли, крепление кровли"
aster,астра
astereognosis,"стереоагнозия, астереогнозия, астереогноз, тактильная агнозия"
asteria,"звездчатый камень, сапфир"
asteriated,"лучистый, звездообразный, звездчатый, о кварце"
asterisk,"звездочка, знак сноски, отмечать звездочкой"
asterism,"астеризм, созвездие"
astern,"позади, за кормой, назад, на корме"
asternal,"астернальный, ложный, не имеющий грудины, не связанный с грудиной"
asteroid,"астероид, малая планета, морская звезда, звездообразный"
asteroidal,астероидный
asthenia,"астения, слабость"
asthenic,"астенический, слабый, астеничный, астеник"
asthenical,"астенический, слабый"
asthenopia,"астенопия, слабость зрения"
asthenosphere,астеносфера
asthma,"астма, удушье, приступы удушья"
asthmatic,"астматический, страдающий астмой, астматик"
astigmatic,"астигматический, относящийся к астигматизму"
astigmatism,астигматизм
astigmatizer,астигматизатор
astir,"в движении, на ногах, в возбуждении, взволнованный, возбужденный"
astonish,"удивлять, изумлять"
astonishing,"удивительный, изумительный"
astonishment,"удивление, изумление"
astoop,"наклонившись, нагнувшись, наклонившись"
astound,"поражать, изумлять"
astounding,"поразительный, удивительный"
astraddle,"верхом, широко расставив ноги"
astragal,астрагал
astragali,"астрагал, таранная кость"
astragalomancy,гадание на костях
astragalus,"астрагал, таранная кость"
astrain,"в напряжении, в напряжении"
astrakhan,"каракуль, каракулевый"
astral,"астральный, звездный"
astrand,"на берегу, выброшенный на берег, на берегу"
astraphobia,"астрафобия, патологическая боязнь грозы, грома и молнии"
astration,"звездообразование, рождение новых звезд, превращения, в недрах звезд"
astray,"заблудившийся, заблудившись, заблудиться"
astrict,"ограничивать, вызывать запор"
astriction,"запор, стягивание"
astrictive,"вяжущий, кровоостанавливающий, вяжущее средство"
astride,"верхом, расставив ноги, верхом на"
astringe,"сжимать, стягивать"
astringency,"терпкость, суровость, строгость, вяжущее свойство"
astringent,"вяжущий, стягивающий, строгий, суровый, вяжущее средство"
astrionics,"астрионика, космическая электроника"
astro-,в сложных словах имеет значение
astro-shot,астроориентация
astro-sight,астроориентация
astroasthenia,"астроастения, утомление космонавтов в результате длительного полета"
astrobiology,астробиология
astrobleme,"астроблема, метеоритный кратер"
astrobotany,астроботаника
astrochemistry,"астрохимия, химия небесных тел и межзвездной среды"
astrochronology,"определение возраста звезд или галактик, определение возраста звезд"
astrocompass,"астрокомпас, астрономический компас"
astrodome,"астрокупол, башня для астрономических наблюдений"
astrodynamics,"астродинамика, звездная динамика"
astrogate,управлять космическим кораблем вручную
astrogation,"астронавигация, космическая навигация, космическое путешествие"
astrogator,"космонавт, навигатор космического корабля, астронавт"
astrogeography,астрогеография
astrogeology,астрогеология
astrognosy,астрогнозия
astrograph,астрограф
astrohatch,"астролюк, люк для астрономических наблюдений, астрономический люк"
astroid,астроида
astrolabe,астролябия
astrolatry,"астролатрия, поклонение небесным телам"
astrolithology,"астролитология, наука о метеорах"
astrologer,"астролог, звездочет"
astrologic,астрологический
astrological,астрологический
astrology,астрология
astromancy,"астрология, гадание, астрономия"
astromedicine,космическая медицина
astrometry,"астрометрия, раздел астрономии"
astronaut,"астронавт, космонавт"
astronautess,космонавт
astronautical,"относящийся к астронавтике, к космонавтике, астронавтический"
astronautics,"космонавтика, астронавтика"
astronavigation,"астронавигация, навигация по звездам, космическая навигация"
astronomer,астроном
astronomic,"астрономический, очень большой"
astronomical,"астрономический, очень большой"
astronomy,астрономия
astrophotography,астрофотография
astrophotometer,астрофотометр
astrophysical,астрофизический
astrophysicist,астрофизик
astrophysics,астрофизика
astroscope,астроскоп
astrospace,"межзвездное пространство, дальний космос"
astrosphere,"астросфера, лучистая сфера"
astrovehicle,космический корабль
astucious,проницательный
asturias,Астурия
astute,"проницательный, хитрый, сообразительный, коварный"
astuteness,"проницательность, коварство"
astylar,"без колонн и пилястр, не имеющий колонн, без колонн и пилястр"
asuncion,"Асунсьон, город"
asunder,"на части, пополам, на куски, отдельно, порознь, далеко друг от друга, в куски"
aswarm,кишащий
asway,"качаясь, раскачиваясь, качаясь"
aswim,"на плаву, на плаву"
aswirl,вертящийся
aswoon,"в обмороке, в беспамятстве, в беспамятстве"
asyllabic,неслоговой
asyllabical,неслоговой
asylum,"убежище, приют, прибежище, психиатрическая больница"
asymmetric,"асимметричный, асимметрический"
asymmetrical,"асимметричный, асимметрический"
asymmetry,"асимметрия, асимметричность, нарушение симметрии"
asymptomatic,бессимптомный
asymptote,асимптота
asymptotic,асимптотический
asynchronism,асинхронизм
asynchronous,"асинхронный, не совпадающий по времени"
asyndetic,бессоюзный
asyndeton,"асиндетон, бессоюзие"
asynergy,"асинергия, отсутствие координированных движений мышц"
asyntactic,"асинтаксический, не по правилам синтаксиса"
asystole,"асистолия, остановка сердца"
at,"в, на, при, у, за, около, собака, атомный, герметический"
at-a-boy,молодец!
at-home,"прием гостей, вечер"
at-risk,с повышенным риском
atabal,"литавра, литавра"
atactic,"атактический, несогласованный, страдающий атаксией"
ataghan,ятаган
ataman,"атаман, атаманша"
ataractic,"малый транквилизатор, анксиолитик, успокоительный, снимающий напряжение"
ataraxia,"атараксия, невозмутимость"
ataraxic,"транквилизатор, седативное средство"
ataraxy,"атараксия, невозмутимость"
atavic,относящийся к отдаленным предкам
atavism,атавизм
atavistic,атавистический
ataxia,атаксия
ataxic,"атаксический, атактический, нестратифицированный"
ataxite,атаксит
ataxy,атаксия
atchoo,апчхи!
ate,"есть, поглощать, поедать, принимать что-л. с шумом, с аплодисментами, въедаться"
atechnic,"не разбирающийся в технике, неквалифицированный"
atelier,"ателье, студия"
atellan,"ателлана, древнеримское народное представление"
atemporal,"не относящийся к определенному времени, вневременный"
athabasca,"Атабаска, Атабаска, река на западе Канады"
athabascan,"атабаски, атапаски, атабаск, атабаскский, атапаскский"
athanasius,"Афанасий, архиепископ Александрийский, Атанейшес, Атанасиус"
athapascan,"атапаск, атапаскские языки, атапаскский"
atheism,атеизм
atheist,"атеист, безбожник"
atheistic,атеистический
atheistical,атеистический
atheling,"принц, князь, представитель знати"
athematic,"непрограммный, атематический"
Athena,Афина
athenaeum,"читальня, библиотека"
Athene,Афина
atheneum,"читальня, библиотека"
Athenian,"афинский, афинянин, афинянка"
athens,"Афины, афинский"
athermanous,"нетеплопрозрачный, атермический, нетеплопроводный"
athermic,"нетепловой, атермический, безлихорадочный, апиретический"
atherogenic,"атерогенный, способствующий развитию атеросклероза"
atheroma,"атерома, киста сальной железы, жировое перерождение, атеросклеротическая бляшка"
atherosclerosis,атеросклероз
athirst,томимый жаждой
athlete,"спортсмен, атлет, легкоатлет"
athletic,"спортивный, атлетический, богатырский"
athletics,"атлетика, занятия спортом"
athodyd,реактивный двигатель
athrill,"трепещущий от возбуждения, радостного, испытывающий восторг, упоение"
athrob,"в волнении, трепетно, трепетно"
athwart,"перпендикулярно, поперек, наискось, поперек, вопреки, через, против"
athwartships,"поперек судна, на траверзе, поперек корабля, на траверзе"
athymia,"меланхолия, атимия, аменция, аментивный синдром"
athymy,меланхолия
atilt,"косо, под наклоном, с копьем наперевес, наклоненно, на самом краю"
atingle,"испытывающий покалывание, пощипывание, возбужденный, раздраженный"
atiptoe,"на носках, на цыпочках"
atlanta,"Атланта, город в США, атлантский"
atlantean,"относящийся к Атланту, Атласу, похожий на Атланта, сильный"
atlantes,"атланты, статуи"
atlanthropus,"атлантроп, древний человек"
Atlantic,"атлантический, Атлантика"
atlanticism,атлантизм
atlantis,"Атлантида, легендарный остров в Атлантическом океане"
atlas,"атлас, географический атлас, подпирать, поддерживать"
atlatl,атлатль
ATM,банкомат
atman,"жизненное начало, душа, мировая душа"
atmidometer,"атмометр, эвапориметр"
atmogenic,"атмогенический, атмосферический, атмогенический атмосферический"
atmolysis,"атмолиз, выделение легкой фракции из смеси газов"
atmometer,"атмометр, эвапориметр"
atmosphere,"атмосфера, обстановка, воздух, окружающая среда, газообразная оболочка"
atmospheric,"атмосферный, атмосферический, метеорологический"
atmospherical,"атмосферный, метеорологический, атмосферический"
atmospherics,атмосферные помехи
atmospherium,атмосфериум
atole,атоле
atoll,"атолл, коралловый остров"
atom,"атом, мельчайшая частица"
atom-bomb,сбрасывать атомные бомбы
atom-smasher,ускоритель ядерных частиц
atomaniac,проповедник атомной войны
atomarium,зал для демонстрации строения атома
atomedics,ядерная медицина
atomic,атомный
atomichron,атомный эталон частоты
atomicity,"атомность, валентность"
atomics,"атомная энергетика, атомная техника, ядерная физика"
atomism,"атомизм, атомистическая теория"
atomist,"атомист, последователь теории атомизма, атомник, атомщик"
atomistic,"атомистический, раздробленный, состоящий из множества частей"
atomization,"распыление, атомизация"
atomize,"распылять, дробить"
atomizer,"распылитель, форсунка, пульверизатор, гидропульт"
atomizing,распыление
atomy,"скелет, атом, маленькое существо, кожа да кости"
atonal,атональный
atonality,"атональность, явление, века, обозначает отсутствие доминирующей тональности"
atone,"искупить, искупать, компенсировать, заглаживать, возмещать"
atonement,"искупление, расплата, возмещение, компенсация"
atonic,"атонический, безударный, вялый, ослабевший"
atony,"атония, вялость, ослабление тонуса"
atop,"поверх, сверху, наверху, наверху"
atour,"над, на, вопреки, несмотря на, сверх, вдобавок"
atrabilarian,ипохондрик
atrabilarious,"желчный, меланхолический, меланхоличный"
atrabiliary,"желчный, подавленный, угнетенный, меланхоличный"
atrabilious,"меланхолический, желчный, страдающий разлитием желчи"
atrament,"чернила, черная краска"
atraumatic,атравматический
atremble,"дрожащий, трепещущий"
atreus,Атрей
atrial,"относящийся к предсердию, предсердный"
atrides,"Атриды, сыновья Атрея"
atrip,"отделившийся от грунта, готовый к спуску, незарифленный"
atrium,"атриум, крытый портик"
atrocious,"зверский, жестокий, ужасный, отвратительный, свирепый"
atrociously,"жестоко, отвратительно, свирепо"
atrocity,"злодеяние, злодеяния, зверство, жестокость, ужас, ужасы, грубый промах"
atrophic,"истощенный, атрофический"
atrophied,"атрофированный, чахлый, истощенный, атрофический"
atrophy,"атрофия, ослабление, истощение, атрофироваться, изнурять"
atropine,"атропин, атропиновый"
atropism,отравление атропином
atry,"в крутой бейдевинд, под штормовыми, под штормовыми парусами"
atta,"атта, пшеничная мука"
attaboy,Молодец!
attach,"придавать, прикреплять, присоединять, привязывать, прикладывать, связывать"
attachable,"могущий быть прикрепленным, подлежащий аресту или описи, присоединяемый"
attache,"атташе, атташе посольства"
attached,"прикрепленный, приложенный, привязанный, прикомандированный, преданный"
attachedly,преданно
attachment,"привязанность, присоединение, прикрепление, приспособление, преданность"
attack,"атака, нападение, атаковать, нападать, нападающий, штурмовой"
attackable,"уязвимый, спорный, открытый для нападения"
attacker,"атакующий, нападающий"
attacking,"атакующий, нападающий"
attackman,нападающий
attagirl,"молодчина!, молодец девчонка!, молодец"
attain,"достигать, добиваться, приобретать, добираться"
attainability,достижимость
attainable,достижимый
attainder,лишение гражданских прав и конфискация имущества в результате приговора к
attainment,"достижение, приобретение"
attainments,"знания, навыки"
attaint,"позорить, бесчестить, обесславливать, пятно, осуждение присяжных"
attar,"розовое масло, эфирное масло"
attemper,"успокаивать, приспособлять, умерять, регулировать, смягчать"
attemperator,"регулятор температуры, термостат, терморегулятор, пароохладитель"
attemperment,"создание нужной температуры, обеспечение необходимого состава смеси"
attempt,"попытка, покушение, опыт, проба, пытаться, пробовать, покушаться"
attempted,"пытаться, пробовать, покушаться, делать попытку"
attend,"посещать, присутствовать, ходить, следить, заниматься, заботиться, обслуживать"
attendance,"посещаемость, посещение, присутствие, обслуживание, аудитория, услуги"
attendant,"сопутствующий, сопровождающий, служитель, слуга, сопровождающее лицо"
attendee,"участник, слушатель, посетитель, присутствующий"
attent,"внимательный, заботливый"
attention,"внимание, внимательность, уход, забота, заботливость, ухаживание"
attention-getting,"привлекающий внимание, вызывающий, броский"
attentional,относящийся к вниманию
attentive,"внимательный, предупредительный, заботливый, вежливый"
attenuant,"вещество, разжижающее кровь, разжижающий, расслабляющий"
attenuate,"ослаблять, смягчать, истощать, разжижать, истощенный, худой, исхудавший"
attenuated,разжиженный
attenuation,"затухание, ослабление, истощение, разбавление, разжижение"
attenuator,"аттенюатор, ослабитель, редуктор давления, шума"
attest,"подтверждать, свидетельствовать, показание свидетеля"
attestant,"лицо, удостоверяющее, удостоверяющий, свидетельствующий"
attestation,"подтверждение, свидетельство, засвидетельствование, свидетельское показание"
attested,"проверенный, клейменый"
attestor,свидетель
attic,"чердак, мансарда, фронтон, голова, классический, аттический"
attic-storey,чердачный этаж
atticism,"красивый слог, изящный стиль, изящество выражения"
attire,"наряд, платье, украшение, убор, оленьи рога, одевать, наряжать"
attitude,"отношение, позиция, мироощущение, поза, осанка, положение самолета в воздухе"
attitudinal,высотный
attitudinize,"принимать позу, жеманиться"
atto-,одна квинтиллионная часть
attorn,признавать нового собственника недвижимости в качестве арендодателя
attorney,"адвокат, прокурор, поверенный, юрист, поверенный"
attorney-at-law,"поверенный в суде, адвокат, судебный поверенный"
attorney-in-fact,"лицо, действующее по доверенности, доверенный, доверенное лицо"
attorneyship,"профессия адвоката, звание адвоката, положение поверенного или адвоката"
attract,"привлекать, притягивать, влечь, манить, прельстить, пленять, прельщать, приваживать"
attractable,притягиваемый
attractant,"аттрактант, привлекающее средство"
attracting,"привлекать, притягивать, влечь, манить, прельстить, пленять, прельщать, приваживать"
attraction,"привлечение, притяжение, аттракцион, привлекательность, тяготение"
attractive,"привлекательный, притягательный, заманчивый, привлекающий, располагающий"
attractiveness,привлекательность
attractor,"аттрактор, точка притяжения, «магнит», универмаг, привлекающий покупателей в…"
attrahent,"притягивающий, притягательный"
attributable,могущий быть приписанным
attribute,"атрибут, признак, определение, приписывать, относить"
attribution,"атрибуция, приписывание, компетенция, власть"
attributive,"атрибутивный, определительный, базисный, атрибут, определение"
attrit,"изнурять, выматывать, изнурить, измотать"
attrition,"потертость, истощение, истирание, истертость, трение, отсев, изнурение"
attrition-resistant,"износостойкий, стойкий против истирания"
attritional,"изнуряющий, изматывающий"
attritive,абразивный
attritus,"аттрит, продукт истирания"
attune,"настраивать, делать созвучным, делать гармоничным"
atwain,"пополам, надвое, порознь"
atweel,"конечно, наверняка, наверно"
atwirl,вертящийся
atwitter,"трепещущий, взволнованный, находящийся в радостном волнении, волнующийся"
atypical,"атипичный, нетипичный, атипический"
aubade,"утренний концерт, пение птиц на рассвете, утренняя серенада"
auberge,"трактир, гостиница"
aubergine,баклажан
aubrey,Обри
auburn,"рыжеватый, золотисто-каштановый, красновато-коричневый, темно-рыжий"
auckland,"Окленд, оклендский"
auction,"аукционный, аукцион, торг, продавать с аукциона"
auctioneer,"аукционист, продавать с аукциона"
audacious,"смелый, дерзкий, наглый, дерзновенный"
audaciousness,"смелость, наглость"
audacity,"смелость, дерзость, наглость"
audi-,в сложных словах имеет значение
audibility,"слышимость, внятность"
audible,"слышимый, слышный, внятный"
audibly,"громко, внятно, вслух, явно"
audience,"аудитория, зрители, публика, слушатели, аудиенция, телезрители, радиослушатели"
audient,"слушающий, внимающий"
audile,"человек, у которого слуховая память, обладающий хорошей слуховой памятью"
audimeter,"электронный регистратор количества зрителей, аудиметр"
auding,"аудирование, озвучивание"
audio,"звуковой, звукозапись"
audio-,аудио-
audio-visual,аудиовизуальный
audiogram,аудиограмма
audiograph,аудиограф
audiolingual,"аудиоречевой, связанный с использованием слуха и речи"
audiologist,"ушник, отоларинголог, аудиолог"
audiology,"аудиология, раздел оториноларингологии, учение о слухе"
audiometer,аудиометр
audiometric,эвдиометрический
audiometry,"аудиометрия, акуметрия, пороговая аудиометрия"
audion,аудион
audiophile,"любитель хорошей, аппаратуры, меломан, дорожка звукового сопровождения"
audiophilia,"аудиофилия, увлечение громкой музыкой, в записи"
audiotactile,"звукотактильный, звукоосязательный"
audiotape,"лента звукозаписи, магнитная лента"
audiotyping,"печатание на машинке на слух, с магнитофона"
audiotypist,фономашинистка
audiovisual,аудиовизуальный
audiovisuals,аудиовизуальные средства
audit,"ревизия, проверка отчетности, ревизовать, проверять отчетность"
auditing,ревизование
audition,"прослушивание, проба, слух, слушание, прослушивать, проходить прослушивание"
auditor,"аудитор, ревизор, контролер"
auditorial,"ревизионный, контрольный"
auditorium,"аудитория, зрительный зал, лекторий, конференц-зал"
auditorship,должность ревизора
auditory,"слуховой, аудитория, слуховой нерв"
Augean,"авгиев, грязный, запущенный"
augend,"первое слагаемое, второе слагаемое, слагаемое"
auger,"шнек, бур, сверло, бурав, спиральное сверло"
auger in,"разбиться, разбиваться"
aught,"нечто, в какой-л. степени"
augite,авгит
augment,"увеличение, приращение, прибавление, шаг, увеличивать, прибавлять"
augmentation,"увеличение, прирост, приращение"
augmentative,"увеличительный, увеличивающийся, увеличительный аффикс"
augmenting,"приумножение, увеличивающийся"
augmentor,"манипулятор, форсажная камера, усиливающий нерв сердца"
augur,"предвещать, гадать, предвидеть, авгур, прорицатель"
augural,предвещающий
augury,"предзнаменование, предсказание, гадание, прорицание, предчувствие"
august,"августейший, августовский, величественный"
Augustan,относящийся к эпохе Августа
Augustinian,"Августинский, августинец"
augustus,"Огастус, Огастес, Август, Август"
auh,"фу!, восклицание, фу"
auk,гагарка
aula,"внутренний двор, большая комната, зал, зал университета"
aularian,"студент, живущий в общежитии, живущий в общежитии студент"
auld,старый
aulic,"принадлежащий к королевскому двору, придворный"
auloi,авлосы
aulophyte,"аулофит, симбионт"
aulos,"авлос, древнегреческий язычковый музыкальный инструмент"
aunt,"тетя, тетка"
aunt-in-law,"жена дяди, тетка"
auntie,тетушка
aunty,тетушка
aura,"аура, атмосфера, дуновение, тончайший аромат, легкое дуновение"
aural,"слуховой, ушной, акустический"
auralize,"представлять себе звук, мысленно слышать"
aurally,"на слух, устно"
auramine,аурамин
aurata,"золотистый морской карась, аурата"
aurate,"аурат, соль золотой кислоты, золотокислый"
aureate,"золотистый, позолоченный"
aureola,"ореол, нимб, небесный венец, венчик, слава, почет"
aureole,"ореол, венчик, нимб, небесный венец, слава, почет"
aureus,золотистый
auric,"золотоносный, содержащий золото"
aurichalcite,аурихальцит
auricle,"ушная раковина, предсердие"
auricula,аврикула
auriculae,аврикула
auricular,"аурикулярный, ушной, предсердный, слуховой, сказанный на ухо, тайный"
auriculate,"ухообразный, ушковидный"
auriferous,"золотоносный, золотосодержащий, златоносный"
aurifex,золотых дел мастер
aurification,"работа по золоту, пломбирование зуба золотом"
auriform,в форме уха
Auriga,Возничий
aurignacian,"Ориньяк, древний человек периода Ориньяка"
auriphrygiate,"вышитый золотом, окаймленный золотом"
auriscope,"отоскоп, ушное зеркало"
aurist,"отиатр, отолог"
aurochs,зубр
Aurora,Аврора
auroral,"утренний, румяный, сияющий, вызванный полярным сиянием"
aurorean,"похожий на зарю, свежий, розовый"
aurous,содержащий золото
aurulent,"цвета золота, золотистый"
aurum,золото
auscultate,выслушивать
auscultation,"аускультация, выслушивание"
auscultatory,"относящийся к выслушиванию, полученный путем выслушивания"
auspex,"авгур, прорицатель"
auspicate,"предсказывать, предвещать"
auspice,"покровительство, доброе предзнаменование"
auspices,"покровительство, доброе предзнаменование"
auspicial,"приносящий удачу, относящийся к авгурам, к предсказаниям или предсказателям"
auspicious,благоприятный
auspiciously,благоприятно
Aussie,"австралийский, австралиец, Австралия"
austempering,"аустемперинг, изотермический отпуск, закалка на аустенит"
austenite,аустенит
auster,южный ветер
austere,"строгий, суровый, аскетический, без затей, простой, чистый"
austerity,"строгость, аскетизм, суровость, простота"
austin,Остин
austral,южный
australasia,"Австралазия, Австралия, Океания"
australasian,"относящийся к Австралазии, житель Австралазии, житель Океании"
australia,"Австралия, Австралия"
Australian,"австралийский, австралиец, австралийка"
australianism,"австрализм, австралийская идиома, австралийский менталитет"
australoid,"австралоид, абориген Австралии или, австралоидный"
australopithecine,"представитель рода австралопитеков, относящийся к австралопитекам"
australopithecus,"австралопитек, ископаемая человекообразная обезьяна"
austria,Австрия
Austrian,"австрийский, австриец"
austringer,"сокольничий, сокольник"
austro-,"компонент сложных слов со значением, "
autarchy,"автаркия, автократия, самодержавие, деспотизм"
autarky,автаркия
autecology,аутоэкология
autel,мотель
auteur,"мастер авторского кино, кинорежиссер с индивидуальным творческим почерком"
auteurism,"индивидуальный стиль в кинорежиссуре, авторский кинематограф"
authentic,"подлинный, аутентичный, достоверный, верный, действительный"
authentically,"достоверно, подлинно"
authenticate,"удостоверять, устанавливать подлинность"
authentication,идентификация
authenticity,"подлинность, достоверность"
author,"автор, писатель, создатель, творец, сочинитель, виновник, инициатор"
authoress,писательница
authorial,авторский
authorise,"разрешать, санкционировать, авторизовать, уполномочивать, поручать, оправдывать"
authoritarian,"авторитарный, сторонник авторитарной власти"
authoritarianism,"авторитаризм, теория авторитаризма"
authoritative,"авторитетный, властный, влиятельный, повелительный, надежный"
authoritatively,"авторитетно, властно"
authoritativeness,"авторитетность, властность, решительность"
authorities,власти
authority,"власть, власти, полномочие, авторитет, основание, влияние, начальство"
authorization,"разрешение, санкция, уполномочивание"
authorize,"разрешать, санкционировать, авторизовать, уполномочивать, поручать, оправдывать"
authorized,"уполномоченный, авторизованный, правомочный, одобренный"
authorless,анонимный
authorling,"писателишка, писака"
authorship,"авторство, писательство"
autism,аутизм
autist,"аутист, больной аутизмом"
autistic,"аутистический, аутистичный, болеющий аутизмом"
auto,"автоматический, автомобиль, автомашина, водить машину"
auto-,"авто-, само-"
auto-da-fe,аутодафе
auto-de-fe,аутодафе
auto-ignition,"самовоспламенение, самовозгорание, автоматическое зажигание"
auto-inoculation,прививка аутовакциной
auto-racing,"автомобильный спорт, автомобильные гонки, автогонки"
auto-timer,"автотаймер, автоматические контактные часы"
auto-training,"аутотренинг, аутогенная тренировка"
autoanalyser,автоматический анализатор
autoanalyses,автоматический анализатор
autoanalysis,"самоанализ, психоанализ самого себя"
autoantibody,"аутоантитело, аутоиммунное антитело"
autobahn,"автобан, автострада"
autobike,мотоцикл
autobiographic,"автобиографический, автобиографичный"
autobiographical,"автобиографический, автобиографичный"
autobiography,автобиография
autobody,кузов автомобиля
